municipio,user,no_Delegacion,delegacion,nrp,razonSocial,folio,periodo,nombre_estatus,foto_domicilio.lat,foto_domicilio.lng,lote,fecha,domicilio,fecha_accion_fiscal
Armenia,9951,7,Ciudad de México,T6143576173,COOPERATIVA DE TRABAJO ASOCIADO SERVICIOS DEL QUINDIO COOSER,700202202T6143576173,202202,Notificado 1a. Visita,20.93237185,-87.6615092,012412015000047,09/02/2015,LA REPUBLICA,27/04/2015
Armenia,9742,22,Querétaro,J7987946348,TRADEFRONTERAS S.A.S.,2200202202J7987946348,202202,No localizado  2° Notificador,20.04365282,-87.71613197,1096,21/11/2016,EL ESPECTADOR,13/02/2017
Barranquilla,9079,25,Sinaloa,M3049927090,CASTILLO VILLANUEVA EMILIO GUILLERMO,2500202304M3049927090,202304,Notificado 2a. Visita,20.64483622,-87.12767645,900016,08/11/2011,PORTAFOLIO,18/05/2012
Barranquilla,8988,2,Baja California,Q3779566940,HIGGINS XORONELL LUIS ALFONSO,200202201Q3779566940,202201,No localizado 1er. Notificador,20.89122612,-87.86735217,331,23/08/2013,LA REPUBLICA,05/05/2014
Barranquilla,9951,24,San Luis Potosí,F5694376857,MORALES POLO HERNAN ALBERTO,2400202205F5694376857,202205,Notificado 2a. Visita,20.36290957,-87.58137979,900004,01/08/2011,EL TIEMPO,27/03/2012
Barranquilla,1107,28,Tamaulipas,C1125783044,BELEÑO BOHORQUEZ RAFAEL,2800202301C1125783044,202301,Notificado 2a. Visita,20.0978084,-87.36372507,900007,17/04/2012,LA REPUBLICA,28/08/2012
Barranquilla,10140,14,Hidalgo,D4752769910,NIEVES REYES CARLOS ALBERTO,1400202203D4752769910,202203,No localizado  2° Notificador,20.46815358,-87.51537415,900017,11/11/2011,EL TIEMPO,27/03/2012
Barranquilla,10315,7,Ciudad de México,T4635417540,ZAMBRANO MANZANO EDGARDO ENRIQUE,700202302T4635417540,202302,Notificado 1a. Visita,20.58511941,-87.05867389,900018,23/11/2011,PORTAFOLIO,18/05/2012
Barranquilla,9075,18,Nayarit,H8305192127,ESQUIAQUI CASTAÑO MICHAEL ANTONIO,1800202205H8305192127,202205,Notificado 2a. Visita,20.99871952,-87.69079183,900017,11/10/2012,LA REPUBLICA,28/02/2013
Barranquilla,9077,28,Tamaulipas,S2134325972,GOMEZ MOVILLA ISMAEL SANTIAGO,2800202303S2134325972,202303,Notificado 1a. Visita,20.03957548,-87.66987407,900003,14/03/2012,LA REPUBLICA,24/07/2012
Barranquilla,9975,5,Chiapas,M7412170897,AVILA OSPINO ALFREDO ENRIQUE,500202201M7412170897,202201,No localizado 1er. Notificador,20.57409799,-87.73273421,288,28/06/2013,EL ESPECTADOR,25/10/2013
Barranquilla,0993,3,Baja California Sur,A9713241620,MARCHENA MARTINEZ EDUARDO MANUEL,300202201A9713241620,202201,No localizado  2° Notificador,20.85679324,-87.21973982,900003,20/05/2014,LA REPUBLICA,22/08/2014
Barranquilla,10323,22,Querétaro,E1173068732,PEREIRA VALEGA EDGARDO ENRIQUE,2200202203E1173068732,202203,Notificado 2a. Visita,20.29997227,-87.81573536,900001,20/01/2012,LA REPUBLICA,24/07/2012
Barranquilla,9732,7,Ciudad de México,U4598250701,MARTINEZ MUNIVE ARTURO MANUEL,700202205U4598250701,202205,Notificado 2a. Visita,20.97771696,-87.56142588,900015,13/12/2011,PORTAFOLIO,18/05/2012
Barranquilla,10323,4,Campeche,L3723137452,GALINDO CERVANTES MARTIN,400202204L3723137452,202204,Notificado 2a. Visita,20.55711003,-87.1226917,900008,01/08/2011,PORTAFOLIO,18/05/2012
Barranquilla,8994,17,Morelos,O6811994667,VERGEL RIVEROS JUAN BAUTISTA,1700202301O6811994667,202301,Notificado 1a. Visita,20.11980684,-87.65579725,900005,01/08/2011,PORTAFOLIO,18/05/2012
Barranquilla,9732,23,Quintana Roo,Y7653606541,GONZALEZ QUIROZ DORIS,2300202304Y7653606541,202304,Citado,20.9570314,-87.39925229,900020,23/11/2011,PORTAFOLIO,18/05/2012
Barranquilla,8988,19,Nuevo León,W2144826861,NATALI ALVAREZ FERREIRA,1900202206W2144826861,202206,No localizado  2° Notificador,20.75584661,-87.05453891,900002,20/05/2014,LA REPUBLICA,25/07/2014
Barranquilla,9886,25,Sinaloa,W1743560377,GONZALEZ TRESPALACIOS JORGE LUIS,2500202303W1743560377,202303,Notificado 1a. Visita,20.90699933,-87.26694464,000694,10/12/2012,LA REPUBLICA,28/02/2013
Barranquilla,9960,25,Sinaloa,R5708724998,CALDERON VILLA LUIS ALEJANDRO,2500202301R5708724998,202301,Notificado 2a. Visita,20.92666568,-87.83268015,900008,01/08/2011,PORTAFOLIO,18/05/2012
Barranquilla,8991,19,Nuevo León,B4608542313,MALDONADO PADILLA JOSE ANTONIO,1900202204B4608542313,202204,Notificado 1a. Visita,20.41812256,-87.77166086,900014,18/10/2011,PORTAFOLIO,18/05/2012
