despacho,usuario_Blue_Naa,usuario_Blue_Pae,id_Proveedor,entidad_Federativa,nombre_Candidato,rfc,curp,folio_Acred_Naa,folio_Acred_Pae,,
FINTECH,8992,E4904,3869,Quintana Roo,ERWIN TONCHEZ MIS,TOME910531JU2,TOME910531HVZNSR09,23/3869/2-2022/00005,23/3869/2-2022/00005PAE,,"ERWIN TONCHEZ MIS,TOME910531JU2,TOME910531HVZNSR09 MAXINE GURIN LIO,GULM920404HJ6,GUMM920404MSPRZL08 MABELLE KRILL KIN,KIMA880527EY6,KIMM880527MDFLXN00 NELDA FOUTY FID,FOUN760621FV9,FOUN760621MSPNLD01 FRANSISCA AINI,AIFR550819J22,AIFR550819MTSLFN08 ROSENDA HEYNES HOM,HEHR690616RQ4,HERR690616MDFYNS07 TAKAKO ESCHENBACH,EETA470220K52,EETT470220MDFKSX01 ARDELIA HAFFNER HAD,HARA750317R51,HARJ750317MDFHFL07 LAVONA HOLYFIELD HOC,HOLL650430LL8,HOLM650430MDFVNV04 LAVENIA ENNES EEN,EELV500806UL1,EELV500806MTSMNN06 LORIS VEENSTRA VEV,VELV5412207R2,VELV541220MDFTRC09 ROSALBA OHLENBUSCH,OORO430715RL6,OORR430715MDFHLN08 NATIVIDAD HAGIE HAN,HANA6902211K,HANA690221MDFBGS00 DIANE HOUTKOOPER,HODI470811GM4,HODD470811MDFHSN00 JENIFFER HELBIG HEB,HEEJ490626R2,HEEJ490626MDFGDS04 YUETTE SCHIMLER SCS,SCSY450811MJ0,SCSS450811MDFHSR07 SHONNA GRAUBARD GRE,GRGS6404026W2,GRGS640402MDFRXS03 DARIN VANDERWEERD,VADV481021HA4,VADD481021MDFZRT05 TOMOKO MCBETH MCT,MCTO640510LW5,MCTO640510MDFKTC03 VERLENE WEYANDT,WEVV540201V47,WEVV540201MDFLYN07 GARFIELD SILVEIRA,SISG480622M27,SISG480622MDFHZR00 EDISON TEIJEIRO TET,TETE6612282G,TETE661228MDFBYD08 LUCIUS WACHTEL WAW,WALU490710LK2,WALU490710MDFDCC04 FRANCISCA EICHNER,EIEF460525VU3,EIEF460525MDFVZL05 LORITA MARKER MAR,MALO6208021J,MALO620802MDFRCY09 TAWANNA REISER RES,RERT560930T2,RERT560930MDFLGV05 AMBER MONTROY MON,MOIA430803VA7,MOIA430803MDFHPR02 ARLEAN TRISLER TRI,TITA6009169T,TITA600916MDFHXH03 LATASHIA PULLANO,PULA540215V53,PULA540215MDFHRR06 BARNEY SCHUFFERT,SCUB500314CU5,SCUB500314MDFNVL08 MALIK TURREY TUZ,TUMA6708113E,TUMA670811MDFLSV04 NICKOLAS KASEY KAT,KAKN471101G70,KAKN471101MDFKXX02 MILAGROS VERBA,VEVM480522RQ1,VEVM480522MDFYTD01 ROMEO SCHRIEFER,SCRR430815MY3,SCRR430815MDFPLS07"
FINTECH,8988,E4900,3869,Quintana Roo,MAXINE GURIN LIO,GULM920404HJ6,GUMM920404MSPRZL08,23/3869/2-2022/00001,23/3869/2-2022/00001PAE,,
FINTECH,8996,E4908,3869,Quintana Roo,MABELLE KRILL KIN,KIMA880527EY6,KIMM880527MDFLXN00,23/3869/2-2022/00009,23/3869/2-2022/00009PAE,,
FINTECH,8990,E4902,3869,Quintana Roo,NELDA FOUTY FID,FOUN760621FV9,FOUN760621MSPNLD01,23/3869/2-2022/00003,23/3869/2-2022/00003PAE,,
FINTECH,8995,E4907,3869,Quintana Roo,FRANSISCA AINI,AIFR550819J22,AIFR550819MTSLFN08,23/3869/2-2022/00008,23/3869/2-2022/00008PAE,,
FINTECH,8991,E4903,3869,Quintana Roo,ROSENDA HEYNES HOM,HEHR690616RQ4,HERR690616MDFYNS07,23/3869/2-2022/00004,23/3869/2-2022/00004PAE,,
FINTECH,9952,E5623,3869,Quintana Roo,TAKAKO ESCHENBACH,EETA470220K52,EETT470220MDFKSX01,23/3869/2-2022/00022,23/3869/2-2022/00021PAE,,
FINTECH,9960,ND_5,3869,Quintana Roo,ARDELIA HAFFNER HAD,HARA750317R51,HARJ750317MDFHFL07,23/3869/1-2023/00023,ND,,
WATERS,1107,E5695,3869,Quintana Roo,LAVONA HOLYFIELD HOC,HOLL650430LL8,HOLM650430MDFVNV04,23/3869/1-2023/00027,23/3869/1-2023/00024PAE,,
WATERS,9812,ND_3,3869,Quintana Roo,LAVENIA ENNES EEN,EELV500806UL1,EELV500806MTSMNN06,23/3869/1-2023/00019,ND,,
